,id_hs,id_hh,cat_loc_div,cat_sz_cty,cat_hus_typ,num_flr,num_out_wls,cat_hus_dir_fce,num_hus_blt_yr,num_hus_ar,num_bed,num_liv,num_bat,num_out_wds,cat_fuel_heat,cat_cool,cat_fuel_cook,num_hus_mems,cat_mhh_occu,num_tot_energy_heat,num_mhh_age,num_hh_ann_incm
4072,2017_HS3401100018,2017_HH16340031,2,2,3,3,2,1,4,79.2,3,1,1,7,1,3,4,2,1,5342.129468,55,54000000
4073,2017_HS3401100019,2017_HH16340032,2,2,3,6,2,1,4,79.2,3,1,1,14,1,3,4,4,1,14345.3659,35,42000000
4074,2017_HS3401100020,2017_HH16340033,2,2,3,12,2,1,4,79.2,3,1,1,14,1,3,4,2,5,10996.15331,67,18000000
4075,2017_HS3401100022,2017_HH13340045,2,2,1,1,4,1,6,75.9,3,1,1,17,2,1,3,2,1,13418.86,35,25000000
4076,2017_HS3401100023,2017_HH13340046,2,2,3,3,4,1,3,79.2,3,1,2,8,1,3,4,6,1,11504.53,45,42000000
4077,2017_HS3401100025,2017_HH16340028,2,2,3,2,2,1,4,56.1,2,1,1,9,1,1,4,4,1,10327.05414,45,42000000
4078,2017_HS3401100026,2017_HH17340001,2,2,3,1,4,4,4,79.2,3,1,1,14,1,1,4,4,1,9953.58,55,42000000
4079,2017_HS3401100027,2017_HH16340030,2,2,3,1,4,2,5,66,2,1,1,11,1,2,4,3,1,15152.63031,35,54000000
4080,2017_HS3401200004,2017_HH12340004,2,2,1,3,5,3,5,138.6,4,1,2,8,1,3,4,2,5,13545.72,67,90000000
4081,2017_HS3401200005,2017_HH12340005,2,2,1,1,4,3,5,33,1,1,1,7,1,3,4,1,5,4623.56,67,18000000
4082,2017_HS3401200007,2017_HH12340006,2,2,1,1,5,1,3,46.2,2,0,0,7,2,3,3,3,5,16710.7,55,42000000
4083,2017_HS3401200010,2017_HH12340007,2,2,1,1,5,1,2,75.9,3,1,1,10,1,1,3,2,1,3370.01,55,25000000
4084,2017_HS3401200011,2017_HH11340023,2,2,1,1,6,2,3,33,1,1,1,8,4,3,3,2,3,18125.1,67,25000000
4085,2017_HS3401200013,2017_HH17340002,2,2,2,33,3,1,6,82.5,3,1,2,10,3,3,4,3,1,10650.09411,67,78000000
4086,2017_HS3401200014,2017_HH15340013,2,2,2,21,3,3,6,82.5,3,1,2,10,3,1,4,4,1,7766.063479,55,90000000
4087,2017_HS3401200015,2017_HH17340003,2,2,1,1,4,1,5,33,1,1,1,8,1,3,4,2,5,2446.68,25,12000000
4088,2017_HS3401200016,2017_HH17340004,2,2,1,1,4,2,1,52.8,2,0,1,8,4,3,3,2,2,1656.76,67,18000000
4089,2017_HS3401200017,2017_HH17340005,2,2,1,1,4,1,1,165,3,1,1,12,2,3,3,2,5,17122.26,67,12000000
4090,2017_HS3401200018,2017_HH17340006,2,2,1,1,4,1,4,92.4,3,1,1,6,2,3,3,4,1,7971.38,55,42000000
4091,2017_HS3401200019,2017_HH17340007,2,2,3,13,2,1,4,66,2,1,1,8,1,3,4,2,3,7823.97,55,66000000
4092,2017_HS3402000002,2017_HH13340002,2,2,1,1,6,1,4,85.8,3,1,1,12,5,3,3,2,3,13251.32,67,12000000
4093,2017_HS3402000003,2017_HH13340003,2,2,1,1,6,2,5,99,3,1,2,10,2,1,3,2,3,15963.92,67,25000000
4094,2017_HS3402000004,2017_HH11340001,2,2,1,1,6,2,1,72.6,3,1,1,10,4,3,3,2,3,17732.08,67,18000000
4095,2017_HS3402000005,2017_HH13340004,2,2,1,1,6,1,5,99,3,1,1,18,2,3,3,3,2,16403.7,67,18000000
4096,2017_HS3402000006,2017_HH13340005,2,2,1,1,6,1,5,99,3,1,1,16,4,1,3,2,3,15648.04,67,18000000
4097,2017_HS3402000007,2017_HH13340006,2,2,1,1,6,1,3,66,2,1,1,17,2,1,3,1,5,13180.44,67,12000000
4098,2017_HS3402000008,2017_HH13340007,2,2,1,1,6,1,4,66,3,1,1,15,1,3,3,2,3,7005.32,67,12000000
4099,2017_HS3402000009,2017_HH13340008,2,2,1,1,6,1,4,59.4,2,1,1,11,4,3,3,2,3,4375.16,67,12000000
4100,2017_HS3402000010,2017_HH13340009,2,2,1,1,6,1,4,99,3,1,1,16,4,1,3,5,3,5691.82,55,18000000
4101,2017_HS3402000011,2017_HH13340010,2,2,1,1,6,4,4,99,3,1,2,12,2,3,3,1,5,11831.8,67,12000000
4102,2017_HS3403000001,2017_HH11340009,2,2,1,1,6,1,1,132,3,1,2,8,5,1,3,2,3,17359.67,67,25000000
4103,2017_HS3403000002,2017_HH17340008,2,2,1,2,3,1,6,26.4,1,0,1,3,1,3,3,2,3,5089.63,55,42000000
4104,2017_HS3404000001,2017_HH15340004,2,2,3,3,3,2,3,79.2,3,1,2,7,1,1,4,3,1,11375.12,55,25000000
4105,2017_HS3404000002,2017_HH11340014,2,2,1,1,6,3,3,105.6,4,1,2,7,1,3,5,2,3,10340.13,67,12000000
4106,2017_HS3404000003,2017_HH11340015,2,2,1,1,6,3,2,85.8,3,1,1,8,1,3,4,5,1,17463.06,35,42000000
4107,2017_HS3404000004,2017_HH11340016,2,2,1,1,6,3,2,85.8,3,1,1,8,1,3,4,1,5,12426.17801,67,12000000
4108,2017_HS3404000005,2017_HH11340017,2,2,1,1,6,3,4,59.4,2,1,1,3,1,3,4,3,3,9727.34,45,25000000
4109,2017_HS3404000006,2017_HH14340003,2,2,1,1,5,1,3,102.3,3,1,1,8,1,1,4,1,5,2166.4,67,12000000
4110,2017_HS3404000007,2017_HH11340018,2,2,3,3,2,1,4,75.9,3,1,1,8,1,3,4,1,5,5514.990685,67,18000000
4111,2017_HS3404000008,2017_HH11340019,2,2,3,9,4,1,4,75.9,3,1,1,8,1,3,4,5,1,13299.57302,45,54000000
4112,2017_HS3404000009,2017_HH11340020,2,2,3,1,3,1,4,75.9,3,1,1,8,1,1,4,2,5,4864.33261,67,18000000
