,id_hs,id_hh,cat_loc_div,cat_sz_cty,cat_hus_typ,num_flr,num_out_wls,cat_hus_dir_fce,cat_hus_blt_yr,num_hus_ar,num_bed,num_liv,num_bat,num_out_wds,cat_fuel_heat,cat_cool,cat_fuel_cook,num_hus_mems,cat_mhh_age,cat_mhh_occu,cat_hh_ann_incm,num_tot_energy_heat
4313,2017_HS3533000018,2017_HH17350060,3,2,1,1,6,1,4,62.7,2,1,1,4,1,3,4,2,3,3,3,10023.6
4314,2017_HS3533000019,2017_HH17350061,3,2,1,2,5,1,3,56.1,2,1,1,8,1,3,4,2,3,3,2,17127.76
4315,2017_HS3533000020,2017_HH17350062,3,2,1,1,6,1,1,52.8,3,0,1,10,1,3,4,2,3,1,4,15917.36
4316,2017_HS3533000021,2017_HH17350063,3,2,1,1,6,1,3,102.3,3,1,1,7,1,3,4,2,3,3,4,13698.18
4317,2017_HS3533000022,2017_HH17350064,3,2,1,1,6,1,4,69.3,4,1,1,6,1,3,4,3,3,3,3,4414.6376851
4318,2017_HS3538000001,2017_HH11350021,3,2,3,11,4,2,4,99.0,3,1,2,5,1,3,4,4,2,1,4,12602.38
4319,2017_HS3538000002,2017_HH11350022,3,2,3,13,4,2,4,99.0,3,1,2,5,1,3,4,4,2,5,3,10602.75
4320,2017_HS3538000003,2017_HH11350023,3,2,3,15,5,2,4,99.0,3,1,2,5,1,1,4,2,2,1,2,13366.0
4321,2017_HS3538000004,2017_HH11350024,3,2,3,6,4,2,4,99.0,3,1,2,5,1,3,4,6,2,1,3,12108.66
4322,2017_HS3538000005,2017_HH14350005,3,2,3,7,4,1,4,62.7,2,1,1,5,1,3,4,2,2,5,3,10173.78
4323,2017_HS3601000002,2017_HH11360016,3,2,3,13,4,1,4,108.9,3,1,2,7,1,3,4,3,2,1,4,17013.89
4324,2017_HS3601000003,2017_HH11360017,3,2,3,14,4,1,4,125.4,3,1,2,7,1,1,4,2,3,1,4,14304.1
4325,2017_HS3601000004,2017_HH11360018,3,2,3,14,4,1,4,122.1,3,1,2,7,1,3,4,5,2,1,3,14267.76
4326,2017_HS3601000005,2017_HH11360019,3,2,3,3,4,1,4,122.1,3,1,2,7,1,3,4,2,2,1,5,15422.44
4327,2017_HS3601000006,2017_HH11360020,3,2,3,7,4,1,4,108.9,3,1,2,7,1,1,4,4,2,1,3,15239.99
4328,2017_HS3601000008,2017_HH11360022,3,2,2,4,5,4,4,72.6,3,1,1,10,1,3,4,2,3,5,1,16680.51
4329,2017_HS3601000009,2017_HH11360023,3,2,2,2,4,4,4,85.8,3,1,1,8,1,1,4,2,2,1,4,6630.34
4330,2017_HS3601000010,2017_HH11360024,3,2,2,4,5,4,4,95.7,3,1,1,10,1,3,4,1,2,1,4,6659.01
4331,2017_HS3601000011,2017_HH11360025,3,2,2,4,5,4,4,105.6,4,1,2,6,1,3,4,3,2,1,5,14783.98
4332,2017_HS3601000014,2017_HH11360027,3,2,3,14,4,1,4,62.7,2,1,1,3,1,3,4,2,2,1,4,8529.66
4333,2017_HS3601000016,2017_HH11360029,3,2,3,2,4,1,4,62.7,2,1,1,3,1,1,4,5,2,1,3,9402.55
4334,2017_HS3601000017,2017_HH11360030,3,2,3,3,4,1,4,62.7,2,1,1,3,1,1,4,1,3,5,1,9782.86
4335,2017_HS3601000018,2017_HH11360031,3,2,3,3,4,1,4,62.7,2,1,1,3,1,3,4,1,2,1,3,11399.16
4336,2017_HS3601000021,2017_HH11360034,3,2,3,4,4,1,4,62.7,2,1,1,3,1,1,4,3,2,1,3,10783.24
4337,2017_HS3601000023,2017_HH11360036,3,2,3,1,4,4,4,82.5,3,1,1,8,1,3,4,4,2,1,4,11680.6
4338,2017_HS3601000024,2017_HH11360037,3,2,3,1,4,4,4,82.5,3,1,1,8,1,3,4,4,2,1,3,25005.08
4339,2017_HS3601000025,2017_HH11360038,3,2,3,9,4,4,4,82.5,3,1,1,8,1,1,4,3,2,3,4,16740.5
4340,2017_HS3601000027,2017_HH11360040,3,2,2,2,4,4,5,105.6,3,1,1,6,1,3,4,1,3,5,5,14132.1
4341,2017_HS3601000030,2017_HH17360001,3,2,3,3,6,1,4,66.0,2,1,1,8,1,3,4,4,2,1,4,16591.04
4342,2017_HS3601000031,2017_HH17360002,3,2,2,3,6,1,5,105.6,3,1,1,5,1,1,4,5,2,1,5,10572.2
4343,2017_HS3602000001,2017_HH13360015,3,2,1,1,6,1,5,66.0,2,1,1,6,2,3,3,3,2,3,4,10932.59
4344,2017_HS3602000004,2017_HH13360016,3,2,1,1,6,1,1,49.5,1,1,1,6,2,1,3,2,3,5,2,8566.38
4345,2017_HS3602000006,2017_HH11360070,3,2,1,1,6,3,1,85.8,3,1,2,6,2,1,3,2,3,4,2,11185.74
4346,2017_HS3602000008,2017_HH13360017,3,2,1,1,6,1,5,99.0,3,1,1,10,2,3,3,3,2,1,5,9381.06
4347,2017_HS3602000011,2017_HH17360003,3,2,1,1,4,1,4,66.0,2,1,1,8,2,3,3,2,3,3,4,12786.62
4348,2017_HS3602000012,2017_HH17360004,3,2,1,1,4,1,3,89.1,3,1,1,7,2,3,3,2,2,2,3,12253.0
4349,2017_HS3602000013,2017_HH17360005,3,2,2,1,4,1,2,89.1,3,1,1,8,2,3,3,2,3,3,3,16574.762105
4350,2017_HS3602000014,2017_HH17360006,3,2,1,1,4,1,1,82.5,3,1,1,4,2,3,3,2,3,1,2,9297.02
4351,2017_HS3603000006,2017_HH11360055,3,2,3,16,2,1,4,105.6,3,1,2,7,1,1,4,2,2,1,2,17226.625884999998
4352,2017_HS3603000007,2017_HH14360010,3,2,3,18,2,2,4,105.6,3,1,1,7,1,3,4,4,2,3,6,18122.762859
4353,2017_HS3603000008,2017_HH11360056,3,2,3,18,4,1,4,105.6,3,1,2,7,1,3,4,3,2,1,3,19578.397211000003
4354,2017_HS3603000009,2017_HH11360057,3,2,3,5,4,1,4,105.6,3,1,2,7,1,3,4,5,2,1,6,20586.770612
4355,2017_HS3603000011,2017_HH13360012,3,2,2,1,6,1,3,59.4,2,1,1,5,2,3,3,2,3,5,1,8758.83
4356,2017_HS3603000012,2017_HH12360013,3,2,1,1,4,3,2,82.5,3,1,1,6,2,3,3,2,3,5,2,9485.4154188
4357,2017_HS3603000013,2017_HH12360014,3,2,1,1,4,1,2,66.0,2,1,1,7,2,3,3,4,2,1,3,11926.2
4358,2017_HS3603000014,2017_HH12360015,3,2,1,2,4,1,4,85.8,3,1,1,6,2,3,3,4,2,1,3,8282.64
4359,2017_HS3603000016,2017_HH13360013,3,2,1,1,6,2,2,75.89999999999998,4,1,1,7,2,1,3,1,2,2,2,5982.24
4360,2017_HS3603000029,2017_HH17360007,3,2,3,1,5,1,4,105.6,3,1,2,6,1,3,4,3,2,3,4,17876.95488
4361,2017_HS3603000030,2017_HH17360008,3,2,3,9,4,4,5,118.8,3,1,2,7,1,3,4,4,2,3,6,10247.088036
4362,2017_HS3603000031,2017_HH17360009,3,2,3,14,4,2,5,118.8,3,1,2,7,1,3,4,4,2,1,5,6538.109127000001
4363,2017_HS3603000032,2017_HH11360061,3,2,3,11,5,1,5,69.3,2,1,1,2,1,1,4,1,3,5,1,4591.9477735
4364,2017_HS3603000033,2017_HH17360010,3,2,3,4,4,2,5,72.6,2,1,1,7,1,3,4,3,2,1,5,15166.980506999998
4365,2017_HS3603000034,2017_HH17360011,3,2,3,4,4,1,6,79.19999999999997,3,1,1,7,1,3,4,4,2,3,5,10367.307998999999
4366,2017_HS3603000035,2017_HH17360012,3,2,3,7,4,2,6,112.2,3,1,2,7,1,3,4,4,2,1,5,6588.2383302
4367,2017_HS3603000036,2017_HH17360013,3,2,3,13,4,2,6,82.5,2,1,1,7,1,3,4,4,2,1,5,9652.4073824
4368,2017_HS3603000037,2017_HH17360014,3,2,3,12,4,2,6,108.9,3,1,2,7,1,3,4,3,2,1,5,11027.59502
4369,2017_HS3604000002,2017_HH11360009,3,2,1,1,6,1,3,42.9,2,1,1,3,2,1,3,2,3,5,3,6343.54
4370,2017_HS3604000005,2017_HH13360005,3,2,1,1,6,1,1,79.19999999999997,3,1,2,16,2,1,3,2,3,3,3,13982.35
