,id_hh,id_hs,cat_loc_div,cat_sz_cty,cat_hus_typ,num_flr,num_out_wls,cat_hus_dir_fce,num_hus_blt_yr,num_hus_ar,num_bed,num_bat,num_out_wds,cat_fuel_heat,cat_cool,cat_fuel_cook,num_hus_mems,cat_mhh_age,cat_mhh_occu,cat_hh_ann_incm,num_hus_age,num_tot_energy_heat
1609,HH13330022,HS3304300023,2,2,2,1,4,3,1998,72.6,2,1,11,1,3,4,4,2,1,3,21,15216.23719
1610,HH13330018,HS3304300025,2,2,1,3,4,1,1986,66,3,1,5,1,3,4,2,3,2,1,33,6273.53097
1611,HH16330023,HS3304300026,2,2,1,1,2,5,1995,23.1,1,1,2,1,1,4,1,2,2,3,24,7609.21078
1612,HH17330016,HS3304300027,2,2,2,4,4,1,2011,85.8,3,2,4,1,3,4,4,2,1,7,8,11975.22928
1613,HH12330017,HS3304400001,2,2,1,1,6,5,1978,72.6,3,1,6,4,3,3,1,3,5,1,41,17107.12
1614,HH12330018,HS3304400002,2,2,1,1,6,4,1976,82.5,3,1,8,2,3,3,2,2,1,4,43,13954.93473
1615,HH12330019,HS3304400004,2,2,3,10,5,2,1992,112.2,3,2,12,1,3,4,4,2,3,5,27,16635.49148
1616,HH16330016,HS3304400005,2,2,3,1,4,1,1992,102.3,3,2,10,1,1,4,3,2,3,4,27,18317.34746
1617,HH16330017,HS3304400006,2,2,3,6,4,1,1992,112.2,3,2,10,1,3,4,4,2,3,5,27,11672.88173
1618,HH16330018,HS3304400007,2,2,3,6,3,1,1992,112.2,3,2,10,1,3,4,3,2,1,6,27,7913.62755
1619,HH12330020,HS3304400008,2,2,3,9,4,5,1992,112.2,3,2,12,1,1,4,3,3,3,5,27,9468.82834
1620,HH12330002,HS3333000001,2,2,1,1,6,5,1965,95.7,3,1,8,4,3,3,3,2,3,4,54,30106.88
1621,HH12330003,HS3333000002,2,2,1,1,6,5,1979,66,2,1,8,2,1,3,2,3,5,1,40,16507.09
1622,HH12330004,HS3333000003,2,2,2,2,4,1,1965,99,3,1,4,4,3,3,3,3,4,3,54,6639.2
1623,HH12330005,HS3335000001,2,2,3,14,2,1,1995,52.8,2,1,8,1,1,4,1,2,1,5,24,1547.31
1624,HH12330006,HS3335000002,2,2,3,5,4,1,2000,66,2,1,8,1,3,4,4,2,1,3,19,9714.241592
1625,HH16330002,HS3335000003,2,2,3,8,6,1,2000,66,2,1,8,1,3,4,4,2,1,2,19,10051.46345
1626,HH13330004,HS3335000004,2,2,3,8,2,1,2000,66,2,1,8,1,3,4,2,2,2,3,19,9375.93
1627,HH13330005,HS3335000005,2,2,3,9,4,1,2000,52.8,2,1,6,1,3,4,3,2,1,2,19,8431.307518
1628,HH16330003,HS3335000007,2,2,2,3,3,1,2007,95.7,1,1,10,4,1,5,1,3,2,1,12,13467.6
1629,HH16330004,HS3335000008,2,2,1,1,6,2,1986,99,3,1,12,2,3,3,2,3,2,1,33,10108.86
1630,HH11330009,HS3335000009,2,2,1,1,6,2,1977,99,3,1,4,4,3,3,2,3,2,2,42,3882.04
1631,HH16330005,HS3335000010,2,2,1,2,3,1,2007,79.2,3,1,10,2,1,3,1,3,5,1,12,8274
1632,HH13330006,HS3335000011,2,2,1,2,4,1,1988,79.2,3,1,12,2,3,3,2,3,5,1,31,5795.8
1633,HH12330007,HS3335000012,2,2,1,1,6,1,1995,89.1,3,1,12,4,1,3,2,2,1,3,24,13390.2
1634,HH13330001,HS3337000002,2,2,1,1,6,3,1994,92.4,3,1,16,4,3,3,2,3,5,1,25,13753.12
1635,HH11330001,HS3337000003,2,2,1,1,5,2,1992,82.5,3,1,8,2,1,3,2,3,3,1,27,6240.38
1636,HH11330002,HS3337000004,2,2,1,1,6,1,2002,89.1,4,2,8,2,3,3,1,3,3,1,17,7433.9
1637,HH13330002,HS3337000005,2,2,1,1,6,3,2010,95.7,3,2,10,2,3,3,3,3,3,2,9,8520.11
1638,HH11330003,HS3337000006,2,2,1,1,6,4,1968,59.4,2,1,4,2,3,3,2,3,3,1,51,6855.93
1639,HH11330004,HS3337000007,2,2,1,1,6,1,1995,75.9,3,1,8,2,3,3,4,2,3,4,24,7093.32
1640,HH11330005,HS3337000008,2,2,1,1,6,2,2005,39.6,2,1,3,2,3,3,2,3,3,2,14,10151.48
1641,HH11330007,HS3337000011,2,2,1,1,6,1,1988,75.9,3,1,8,2,3,3,3,2,1,3,31,6718.44
1642,HH17330018,HS3337000012,2,2,3,10,2,3,1995,105.6,3,1,16,1,3,4,2,2,1,3,24,38325.6
1643,HH17330019,HS3337000013,2,2,1,1,6,1,1988,99,3,1,6,2,1,3,1,3,5,1,31,9392.16
